,t (h),pwf1 (bar),pwf2 (bar),pavg (bar),q (m3/d)
340,170.0,290.5901437459759,291.3882302426095,310.42825839888326,-274.97097063897854
341,170.5,290.3198384952585,291.1161855004767,310.16481209996334,-274.9709706411948
342,171.0,290.04957141036624,290.8441886608615,309.9013658010532,-274.9709706309298
343,171.5,289.77934227691765,290.57223945578227,309.63791950212124,-274.97097065375385
344,172.0,289.5091508881424,290.3003376180192,309.3744732031916,-274.97097065126536
345,172.5,289.23899702743324,290.0284828831298,309.1110269042681,-274.97097064488867
346,173.0,288.9688804918265,289.75667498706633,308.847580605358,-274.97097063089086
347,173.5,288.69880106862456,289.4849136681692,308.5841343064141,-274.9709706661963
348,174.0,288.4287585523741,289.2131986661152,308.32068800750613,-274.97097062871353
349,174.5,288.1587527374806,288.941529721593,308.05724170858,-274.97097064764927
350,175.0,287.88878341942075,288.66990657688075,307.7937954096622,-274.97097063893966
351,175.5,287.6188503947854,288.3983289757609,307.5303491107401,-274.97097064348884
352,176.0,287.34895346126405,288.1267966634754,307.26690281180595,-274.97097065597023
353,176.5,287.0790924178996,287.85530938680483,307.00345651288995,-274.9709706370344
354,177.0,286.8092670645301,287.5838668938281,306.74001021394974,-274.97097066238575
